,Titulo,Tipo,Nuevo,Ubicacion,Precio,Precio en,total inmueble (m2),techado (m2),habitaciones,baños,parqueaderos
776,"Bogota, Venta Apartamento Duplex en Cabrera 198 mts ",apartamento,False,"Chapinero, Bogotá, Cundinamarca",2000,millones,198.0,198.0,3.0,4.0,2.0
777,Venta Apartamento Rosales 220 mts ,apartamento,False,"Rosales, Chapinero, Bogotá, Cundinamarca",1750,millones,220.0,220.0,3.0,4.0,3.0
778,Venta Apartamento en Puente Largo,apartamento,False,"Puentelargo, Suba, Bogotá, Cundinamarca",425,millones,103.0,103.0,3.0,3.0,1.0
779,Apartamento en venta en Rosales (3),apartamento,False,"Rosales, Chapinero, Bogotá, Cundinamarca",1400,millones,,206.0,2.0,4.0,3.0
780,Venta apartamento Villa Mejia Kennedy,apartamento,False,"Calandaima, Kennedy, Bogotá, Cundinamarca",289,millones,67.0,67.0,3.0,2.0,1.0
781,Venta Apartamento Chico Reservado 241 mts ,apartamento,False,"Chico Reservado, Chapinero, Bogotá, Cundinamarca",2850,millones,241.0,241.0,3.0,5.0,3.0
782,Venta Apartamento Bosque Medina 189 mts ,apartamento,False,"Bosque De Medina, Usaquén, Bogotá, Cundinamarca",1200,millones,189.0,189.0,2.0,3.0,2.0
783,Apto virrey 100 mts,apartamento,False,"Virrey, Chapinero, Bogotá, Cundinamarca",900,millones,100.0,100.0,2.0,3.0,2.0
784,Venta Penthouse Rosales dos niveles con terraza 2746619,apartamento,False,"Rosales, Chapinero, Bogotá, Cundinamarca",2515,millones,321.0,321.0,3.0,5.0,4.0
785,Apartamento en Venta en Santa Barbara,apartamento,False,"Santa Bárbara, Usaquén, Bogotá, Cundinamarca",1200,millones,,147.0,3.0,4.0,2.0
786,Venta Apartamento Santa Barbara Central,apartamento,False,"Santa Bárbara Central, Usaquén, Bogotá, Cundinamarca",460,millones,62.0,62.0,2.0,2.0,1.0
787,BOGOTA VENDO APARTAMENTO SANTA BARBARA OCCIDENTAL 150 MTS ,apartamento,False,"Santa Barbara Occidental, Usaquén, Bogotá, Cundinamarca",710,millones,,150.0,3.0,3.0,2.0
788,Venta de Apartamento en Hayuelos,apartamento,False,"Hayuelos, Fontibón, Bogotá, Cundinamarca",380,millones,76.0,66.0,3.0,2.0,1.0
789,"APARTAMENTO VENTA CHICO, BOGOTA",apartamento,False,"Chicó , Chapinero, Bogotá, Cundinamarca",1300,millones,100.0,100.0,2.0,3.0,2.0
790,"Bogotá, Venta Apartamento Santa Barbara 177 mts ",apartamento,False,"Santa Barbara, Usaquén, Bogotá, Cundinamarca",920,millones,177.0,177.0,3.0,4.0,3.0
791,Venta Apartamento Rosales 150 mts ,apartamento,False,"Rosales, Chapinero, Bogotá, Cundinamarca",1200,millones,150.0,,2.0,2.0,2.0
792,Venta Apartamento en Virrey 94 mts ,apartamento,False,"Virrey, Chapinero, Bogotá, Cundinamarca",820,millones,94.0,94.0,2.0,2.0,2.0
793,Venta apartamento San Patricio,apartamento,False,"San Patricio , Usaquén, Bogotá, Cundinamarca",1200,millones,177.0,177.0,3.0,4.0,2.0
794,Venta Apartamento En Marsella,apartamento,False,"Marsella, Kennedy, Bogotá, Cundinamarca",232,millones,60.0,60.0,2.0,1.0,
795,En edificio con piscina: Apartaestudio dúplex con terraza en Usaquén,apartamento,False,"Usaquén, Bogotá, Cundinamarca",520,millones,75.0,63.0,1.0,2.0,1.0
796,Apartamento en venta rentando en Los Rosales ,apartamento,False,"Rosales, Chapinero, Bogotá, Cundinamarca",1000,millones,,140.0,2.0,4.0,2.0
797,Venta Apartamento 167 Mts Para ESTRENAR en Antiguo Country Bogotá ,apartamento,False,"Antiguo Country, Usaquén, Bogotá, Cundinamarca",1894,millones,167.0,167.0,3.0,5.0,2.0
798,"BOGOTA, VENDO APARTAMENTO SANTA PAULA, 110 MTS ",apartamento,False,"Santa Paula, Usaquén, Bogotá, Cundinamarca",890,millones,,110.0,2.0,3.0,2.0
799,Apartamento en venta en Chicó Reservado,apartamento,False,"Chico Reservado, Chapinero, Bogotá, Cundinamarca",2200,millones,,274.0,3.0,5.0,3.0
800,VENTA APARTAMENTO STA BARBARA CENTRAL 176 MTS ,apartamento,False,"Santa Barbara Central , Usaquén, Bogotá, Cundinamarca",950,millones,,176.0,4.0,4.0,
801,VENTA APARTAMENTO CABRERA 183 MTS ,apartamento,False,"Cabrera, Chapinero, Bogotá, Cundinamarca",1800,millones,,183.0,2.0,4.0,
802,"Bogotá, Venta Apartamento en Chico Alto 312 mts ",apartamento,False,"Chico Alto, Chapinero, Bogotá, Cundinamarca",2250,millones,312.0,312.0,3.0,5.0,3.0
803,VENTA APARTAMENTO CEDRITOS BOGOTÁ ,apartamento,False,"Nueva Autopista, Usaquén, Bogotá, Cundinamarca",599,millones,,91.0,2.0,2.0,
804,BOGOTA VENDO APARTAMENTO ESTORIL PASADENA 63 MTS ,apartamento,False,"Estoril, Suba, Bogotá, Cundinamarca",440,millones,,67.0,2.0,2.0,2.0
805,Venta Apartamento en La Cabrera 324 mts ,apartamento,False,"Cabrera, Chapinero, Bogotá, Cundinamarca",2650,millones,324.0,324.0,4.0,6.0,3.0
806,Apartamento en venta en Santa Barbara Alta,apartamento,False,"Santa Barbara, Usaquén, Bogotá, Cundinamarca",815,millones,,106.0,2.0,3.0,2.0
807,Apartamento en venta en El Batán,apartamento,False,"El Batán, Suba, Bogotá, Cundinamarca",350,millones,,62.0,2.0,2.0,1.0
808,VENTA APARTAMENTO EN FOTIBON,apartamento,False,"Fontibón, Fontibón, Bogotá, Cundinamarca",240,millones,56.0,56.0,3.0,2.0,1.0
809,VENTA DE APARTAMENTO SANTA BARBARA ,apartamento,False,"Santa Bárbara, Usaquén, Bogotá, Cundinamarca",390,millones,65.0,65.0,2.0,2.0,1.0
